Discipline,InstYrType,AcadRank,CoordPattern,RBISuse
1,1,4,1111,2
3,1,1,1111,2
2,1,1,1111,1
2,1,4,1111,1
2,1,1,1111,1
2,1,1,1111,2
2,1,3,1111,2
2,1,2,1111,2
2,1,4,1111,1
2,1,4,1111,1
2,1,1,1111,1
2,1,4,1111,1
2,1,4,1111,1
2,1,3,1111, 
2,1,2,1111,1
2,1, ,1111, 
2,1, ,1111, 
2,1,2,1111,2
2,1,1,1111,1
2,1,2,1111,2
2,1, ,1111,1
2,1,1,1111,2
2,1, ,1111, 
2,1,1,1111,1
2,2,7,1111,2
2,2,3,1111,1
2,2,3,1111,1
2,2,2,1111,2
2,2,2,1111,2
2,2, ,1111,1
2,2,1,1111,1
2,2,2,1111,1
2,2,1,1111,1
2,2, ,1111,1
2,2,3,1111,1
2,2,1,1111,1
2,2, ,1111, 
2,2,3,1111,1
2,2,2,1111,2
2,2,3,1111,1
2,2,1,1111,2
2,2,3,1111,2
2,2,2,1111,2
2,2,4,1111,1
2,2, ,1111, 
2,2,5,1111,2
2,2, ,1111,1
2,2,2,1111,2
2,2,2,1111,2
2,2,2,1111,1
2,2,7,1111,1
2,2,4,1111,2
2,2,3,1111,2
2,2,2,1111,1
2,2,4,1111,2
2,2,2,1111,1
2,2, ,1111,1
2,2, ,1111,2
2,2,1,1111,2
2,2, ,1111, 
2,2,2,1111,1
2,2, ,1111, 
2,2,1,1111,1
1,1,1,1111,1
1,1,1,1111,1
1,1,4,1111,2
1,1,1,1111,2
1,1,4,1111,2
1,1,1,1111,1
1,1,1,1111,1
1,1,1,1111,1
1,1,4,1111,1
1,1,1,1111,2
1,1,1,1111,1
1,1,4,1111, 
1,1,1,1111,1
1,1,1,1111,1
1,1,4,1111,1
1,1,4,1111,1
1,1, ,1111, 
1,1,2,1111,1
1,1,4,1111,1
1,1,3,1111,1
1,1,1,1111,2
1,1,1,1111,1
1,1,1,1111,1
1,1,3,1111,2
1,1,2,1111,2
1,1,2,1111,2
1,1,1,1111,1
1,1,1,1111,1
1,1,5,1111, 
1,1,2,1111,1
1,1,4,1111,2
1,1,1,1111,2
1,1, ,1111, 
1,1,1,1111,1
1,1,4,1111,1
1,1, ,1111, 
1,1, ,1111,1
1,1,1,1111,1
1,1,1,1111,1
1,1,1,1111,1
1,1, ,1111, 
1,1,4,1111,1
1,1,2,1111,2
1,1,1,1111, 
1,1,2,1111,1
1,1, ,1111,1
1,1,3,1111,2
1,1,2,1111,1
1,1,1,1111,1
1,1,4,1111,2
1,1,3,1111,1
1,1,1,1111,1
1,1, ,1111,1
1,1,1,1111,1
1,1,4,1111,1
1,1, ,1111,1
1,1,4,1111,2
1,1,4,1111,1
1,1,2,1111,1
1,1,3,1111,2
1,1,2,1111,1
1,2,4,1111,1
1,2,1,1111,1
1,2,3,1111,2
1,2,3,1111,2
1,2,4,1111,2
1,2,1,1111,2
1,2, ,1111, 
1,2,2,1111,2
1,2,2,1111,2
1,2, ,1111,1
1,2,1,1111,1
1,2,1,1111,2
1,2,3,1111,2
1,2,3,1111,1
1,2,4,1111,2
1,2,4,1111,1
1,2,3,1111,1
1,2,1,1111,2
1,2, ,1111,1
1,2,3,1111,2
1,2,1,1111,2
1,2,4,1111,2
1,2,3,1111,1
1,2,3,1111,1
1,2,1,1111,2
1,2,1,1111,1
1,2,1,1111,2
1,2,1,1111,1
1,2,1,1111,2
1,2,1,1111,2
1,2,1,1111,2
1,2,2,1111,2
1,2,1,1111,2
1,2,2,1111,2
1,2,2,1111,1
1,2,3,1111,1
1,2,1,1111,1
1,2,1,1111,1
1,2,1,1111,1
1,2,1,1111,1
1,2,1,1111,1
1,2,1,1111, 
1,2, ,1111,1
1,2,1,1111,1
1,2,3,1111,2
1,2,1,1111,1
1,2, ,1111,2
1,2,1,1111,1
1,2, ,1111, 
1,2,4,1111,2
1,2,1,1111,1
1,2,7,1111,2
1,2,1,1111,2
1,2,1,1111,2
1,2,2,1111,1
3,1,4,1111,1
3,1, ,1111, 
3,1,1,1111,2
3,1,2,1111,2
3,1,4,1111,2
3,1,1,1111,2
3,1,1,1111,2
3,1,4,1111,2
3,1, ,1111, 
3,1,3,1111,1
3,1,1,1111,1
3,1, ,1111, 
3,1,1,1111,2
3,1, ,1111,2
3,1, ,1111,1
3,1,4,1111,2
3,1,1,1111,2
3,1,3,1111,2
3,1,2,1111,2
3,1,4,1111,1
3,1,2,1111,2
3,1,4,1111,1
3,1, ,1111,1
3,1,4,1111,2
3,1, ,1111,1
3,1,4,1111,1
3,1,4,1111,1
3,1,1,1111,1
3,1,1,1111,2
3,1,1,1111,1
3,1,1,1111,2
3,1,4,1111,2
3,1,1,1111,2
3,1,4,1111,2
3,1,4,1111,2
3,1,4,1111,1
3,1, ,1111,2
3,1,3,1111,2
3,1,1,1111,2
3,1,1,1111,2
3,1,2,1111,2
3,1,1,1111,1
3,1, ,1111,2
3,1,4,1111,2
3,1,4,1111,1
3,1,4,1111,1
3,1,1,1111,1
3,1, ,1111,1
3,1,4,1111,2
3,1,4,1111,1
3,1,4,1111,2
3,1,4,1111,2
3,1,4,1111,1
3,1,4,1111,1
3,1,4,1111,1
3,1,4,1111,1
3,1,1,1111,2
3,1,4,1111,2
3,1,1,1111,1
3,1,3,1111,1
3,1,3,1111,2
3,1, ,1111,1
3,1,4,1111,1
3,1,2,1111,2
3,1,5,1111,2
3,1,3,1111,1
3,1,1,1111,2
3,1,1,1111,2
3,1,4,1111,1
3,1,1,1111,1
3,1,1,1111,1
3,1,4,1111,2
3,1, ,1111, 
3,1,4,1111,2
3,1,2,1111,2
3,1,4,1111,2
3,1,4,1111,1
3,1,3,1111,2
3,1,2,1111,1
3,1,1,1111,1
3,1,4,1111,2
3,1,4,1111,2
3,1,4,1111,1
3,1,1,1111,1
3,1,4,1111,1
3,2,3,1111,2
3,2,4,1111,1
3,2,2,1111,1
3,2,2,1111,1
3,2,1,1111,2
3,2,3,1111,2
3,2,4,1111,1
3,2,4,1111,1
3,2,1,1111,1
3,2,3,1111,2
3,2,1,1111, 
3,2,2,1111,2
3,2,3,1111,2
3,2,4,1111,1
3,2,4,1111,1
3,2,2,1111,2
3,2,3,1111,1
3,2,3,1111,2
3,2,5,1111,2
3,2,3,1111,2
3,2,4,1111,2
3,2,4,1111,2
3,2,1,1111,2
3,2,1,1111,2
3,2,1,1111,2
3,2,2,1111,2
3,2,2,1111,2
3,2,3,1111,2
3,2,3,1111,1
3,2,2,1111, 
3,2,1,1111,2
3,2,1,1111, 
3,2,1,1111,1
3,2,6,1111,1
3,2,4,1111,2
3,2,1,1111,2
3,2,2,1111,2
3,2,3,1111,2
3,2,3,1111,2
3,2,2,1111,2
3,2,1,1111,1
3,2, ,1111,2
3,2,3,1111,1
3,2,1,1111,1
3,2,1,1111,1
3,2,3,1111,1
3,2,3,1111,1
3,2, ,1111,1
3,2,2,1111,2
3,2, ,1111,2
3,2,4,1111,2
3,2,1,1111,2
3,2,1,1111,2
3,2,2,1111,2
3,2,1,1111,2
3,2,1,1111,2
3,2,1,1111,2
3,2,1,1111,1
3,2,1,1111,2
3,2,1,1111,2
3,2,1,1111,1
3,2,1,1111,1
3,2,2,1111,1
3,2, ,1111, 
3,2,1,1111,1
3,2,2,1111,1
3,2,2,1111,1
3,2,2,1111,2
3,2,1,1111,1
3,2,2,1111,1
3,2,3,1111,1
3,2,1,1111,2
3,2,4,1111,2
3,2,1,1111,2
3,2,2,1111,2
3,2,1,1111,1
3,2,1,1111,1
3,2,1,1111,2
3,2,2,1111,2
3,2,1,1111,2
3,2,3,1111,2
3,2,3,1111,1
3,2,2,1111,1
3,2,1,1111,2
3,2,1,1111,2
3,2,1,1111,2
3,2,2,1111,1
3,2,3,1111,2
3,2, ,1111, 
3,2,2,1111,2
3,2,1,1111, 
3,2,4,1111,2
3,2,1,1111,2
3,2,3,1111,2
3,2,2,1111,2
3,2,3,1111,2
3,2,1,1111,1
3,2,1,1111,1
3,2,1,1111,2
3,2,3,1111,2
3,2,2,1111,2
3,2,3,1111,2
3,2, ,1111, 
3,2,1,1111,2
3,2,1,1111,1
3,2,3,1111,2
3,2,1,1111,1
3,2,2,1111,2
3,2,1,1111,2
3,2,4,1111,2
3,2,1,1111,1
3,2,1,1111,1
3,2,1,1111,2
3,2,1,1111,2
3,2,2,1111,1
3,2,2,1111, 
3,2,2,1111,2
3,2,1,1111,1
3,2,3,1111,2
3,2, ,1111, 
3,2,1,1111,1
3,2,2,1111,2
3,2,2,1111,2
3,2,3,1111,1
3,2,2,1111,2
3,2,4,1111,2
3,2, ,1111, 
3,2,2,1111, 
3,2,5,1111,2
3,2,5,1111,2
3,2,2,1111,2
3,2,2,1111,2
3,2,3,1111,2
3,2,4,1111,1
3,2,1,1111,1
3,2, ,1111,2
3,2,1,1111,2
3,2,1,1111,2
3,2,3,1111,1
3,2, ,1111,1
3,2, ,1111, 
3,2,1,1111,2
3,2,1,1111,1
3,2,4,1111,2
3,2,2,1111,2
3,2,2,1111,2
3,2,1,1111,2
3,2,1,1111,2
3,2,1,1111,1
3,2,2,1111,1
3,2,4,1111,2
3,2, ,1111, 
3,2,1,1111,1
3,2,2,1111,1
3,2,3,1111,2
3,2, ,1111,2
3,2,1,1111,1
3,2,1,1111,1
3,2,2,1111,2
3,2,1,1111,1
3,2, ,1111,2
3,2,3,1111,2
3,2,3,1111,1
3,2,1,1111,1
3,2,2,1111,2
3,2, ,1111, 
3,2,1,1111,2
3,2, ,1111, 
3,2,1,1111,1
3,2,3,1111,2
3,2,1,1111,2
3,2,2,1111,2
3,2,3,1111,2
3,2,2,1111,1
3,2,4,1111,1
3,2,2,1111,2
3,2,1,1111,2
3,2,4,1111,2
3,2,4,1111,2
3,2,2,1111,2
3,2,1,1111,2
3,2,1,1111,1
3,2,2,1111,2
3,2,2,1111,2
3,2,1,1111,2
3,2,1,1111,2
3,2,1,1111,2
3,2,1,1111,1
3,2,1,1111,2
3,2,2,1111,2
3,2,1,1111, 
3,2,1,1111,1
3,2,1,1111,1
3,2,2,1111,2
3,2, ,1111,2
3,2,1,1111,1
3,2,1,1111,1
3,2,2,1111,1
3,2,1,1111,2
3,2,4,1111,2
3,2,4,1111,2
3,2,2,1111,1
2,1, ,1121,1
2,1,4,1121,2
2,1,4,1121,1
2,1,4,1121,2
2,1,1,1121,1
2,1, ,1121,1
2,1,4,1121,1
2,1,3,1121,2
2,1, ,1121,1
2,1, ,1121, 
2,1,2,1121,1
2,1,1,1121,2
2,1,1,1121,1
2,1,4,1121, 
2,1,4,1121,1
2,1,4,1121,1
2,1, ,1121, 
2,1, ,1121,1
2,1,1,1121,1
2,1,3,1121, 
2,1,1,1121,1
2,1, ,1121,1
2,1, ,1121,1
2,1,1,1121,1
2,1,4,1121,2
2,1,4,1121,1
2,1,4,1121,1
2,1,4,1121,2
2,1,4,1121,1
2,1,1,1121,2
2,1,1,1121,1
2,1,3,1121,1
2,1, ,1121, 
2,1,3,1121,1
2,1,1,1121,2
2,1,3,1121,2
2,2,4,1121,2
2,2,3,1121,2
2,2, ,1121,1
2,2,2,1121,2
2,2,2,1121,2
2,2, ,1121, 
2,2,2,1121,1
2,2,3,1121,1
2,2,2,1121,1
2,2,2,1121, 
2,2,3,1121,2
2,2, ,1121, 
2,2,2,1121,2
2,2,2,1121,2
2,2,1,1121,2
2,2,1,1121,1
2,2,3,1121,1
2,2,2,1121,2
2,2,1,1121,1
2,2,1,1121,1
2,2,2,1121,1
2,2,1,1121,2
2,2,3,1121,1
2,2,2,1121,2
2,2,1,1121,2
2,2,1,1121,1
2,2,5,1121,1
2,2,5,1121,1
2,2,3,1121,2
2,2,5,1121,2
2,2,1,1121,2
2,2,2,1121,2
2,2,1,1121,1
2,2,1,1121,1
2,2,3,1121,2
2,2,1,1121,1
2,2,2,1121,1
2,2,4,1121,2
2,2,1,1121,2
2,2,2,1121,1
2,2,1,1121,1
2,2,1,1121,1
2,2,2,1121,2
2,2,3,1121,2
2,2,1,1121,2
2,2,3,1121,1
2,2, ,1121, 
2,2,3,1121,1
2,2,2,1121,2
2,2,2,1121,2
2,2,3,1121,1
2,2,2,1121,1
1,1,2,1121,1
1,1,1,1121, 
1,1,4,1121,2
1,1,4,1121,1
1,1,1,1121,1
1,1,4,1121,1
1,1,1,1121,1
1,1,1,1121,1
1,1,5,1121,1
1,1, ,1121, 
1,1,1,1121,2
1,1,4,1121,2
1,1,1,1121,1
1,1,1,1121,1
1,1, ,1121, 
1,1,2,1121,1
1,1,5,1121,1
1,1,2,1121,2
1,1,4,1121,2
1,1,1,1121,2
1,1,4,1121,1
1,1,1,1121, 
1,1,1,1121,1
1,1,4,1121,1
1,1,2,1121,2
1,1,2,1121,1
1,1,3,1121,1
1,1, ,1121, 
1,1, ,1121, 
1,1,2,1121,2
1,1,1,1121,2
1,1,4,1121, 
1,1,2,1121,2
1,1,2,1121,2
1,1,3,1121,2
1,2,3,1121,2
1,2,3,1121,2
1,2, ,1121, 
1,2,4,1121,1
1,2,3,1121,1
1,2,3,1121,2
1,2,4,1121,2
1,2, ,1121, 
1,2,4,1121,1
1,2,3,1121,2
1,2,3,1121,1
1,2,3,1121,1
1,2, ,1121, 
1,2,3,1121,2
1,2,1,1121,1
1,2,4,1121,1
1,2,1,1121,2
1,2,1,1121,2
1,2,3,1121,2
1,2,4,1121,2
1,2,2,1121,1
1,2,1,1121,1
1,2,2,1121,1
1,2,3,1121,1
1,2,3,1121,1
1,2,2,1121,2
1,2,2,1121,1
1,2,4,1121,2
1,2,1,1121,2
1,2,2,1121,1
1,2,5,1121,2
1,2, ,1121,1
1,2,1,1121,1
1,2,1,1121,1
1,2,2,1121,1
1,2,2,1121,2
3,1,4,1121,2
3,1,4,1121,2
3,1, ,1121, 
3,1,1,1121,2
3,1,1,1121,1
3,1,1,1121,2
3,1,4,1121,2
3,1,2,1121,2
3,1,1,1121,2
3,1, ,1121, 
3,1,4,1121,2
3,1,4,1121,1
3,1,1,1121,2
3,1,2,1121,2
3,1,1,1121,1
3,1,1,1121,2
3,1,1,1121,2
3,1,4,1121,1
3,1, ,1121, 
3,1,1,1121,1
3,1,4,1121,1
3,1,3,1121,1
3,1, ,1121, 
3,1, ,1121, 
3,1,4,1121,1
3,1,4,1121,2
3,1, ,1121,2
3,1,4,1121,1
3,1,1,1121,2
3,1,4,1121,1
3,1,4,1121,1
3,1,4,1121,1
3,1,2,1121,1
3,1,2,1121,2
3,1,1,1121,2
3,1,4,1121,2
3,2,1,1121,2
3,2,2,1121,2
3,2,2,1121,2
3,2,3,1121,2
3,2,3,1121,2
3,2,3,1121,1
3,2,1,1121,2
3,2,4,1121,2
3,2,2,1121,2
3,2, ,1121,1
3,2,4,1121,2
3,2,2,1121, 
3,2, ,1121,1
3,2,2,1121,1
3,2,3,1121,1
3,2,1,1121,1
3,2,2,1121,1
3,2,1,1121,1
3,2,2,1121,1
3,2,4,1121,2
3,2,3,1121,1
3,2,1,1121,1
3,2,1,1121,2
3,2,3,1121,1
3,2,2,1121,1
3,2,3,1121,1
3,2,1,1121,2
3,2,2,1121,1
3,2,1,1121,1
3,2, ,1121,1
3,2,1,1121,2
3,2,2,1121,2
3,2,2,1121,1
3,2,1,1121,1
3,2, ,1121,2
3,2, ,1121,2
3,2,2,1121,2
3,2,1,1121,2
3,2,1,1121,2
3,2,2,1121,2
3,2,2,1121,2
3,2,2,1121,1
3,2,2,1121,2
3,2,4,1121,2
3,2,1,1121,2
3,2,2,1121,1
3,2,1,1121,1
3,2,2,1121,1
3,2,1,1121,2
3,2,1,1121,2
3,2,4,1121, 
3,2, ,1121, 
3,2,2,1121,1
3,2,1,1121, 
3,2,3,1121,2
3,2,1,1121,1
3,2,1,1121,2
3,2,2,1121,2
3,2,1,1121,2
3,2,2,1121,1
3,2,3,1121,2
3,2,1,1121,2
3,2,2,1121,1
3,2,1,1121,1
3,2,1,1121,1
3,2,3,1121,2
3,2,2,1121,2
3,2,3,1121,2
3,2,2,1121,2
3,2,2,1121,2
3,2,1,1121,2
3,2,4,1121, 
3,2,1,1121,1
3,2,2,1121,2
3,2,2,1121,2
3,2,3,1121,2
3,2,4,1121,1
3,2,4,1121,2
3,2, ,1121, 
3,2,1,1121,1
3,2,1,1121,2
3,2,1,1121, 
3,2,2,1121,2
3,2,1,1121,2
3,2,1,1121, 
3,2,2,1121,2
3,2,4,1121,1
3,2,2,1121,2
3,2,2,1121,2
3,2,1,1121,2
3,2, ,1121,1
3,2,1,1121,2
3,2,2,1121,2
1,1,4,2111,2
3,1,4,2111,2
3,1,4,2111,2
2,1,1,2111,1
2,1, ,2111, 
2,1,4,2111,1
2,1,4,2111,2
2,1,1,2111,1
2,1,3,2111,1
2,1, ,2111, 
2,1,3,2111,1
2,1, ,2111, 
2,1,3,2111,1
2,1,1,2111,2
2,2,2,2111,1
2,2,3,2111,1
2,2,1,2111,1
2,2,7,2111,1
2,2,3,2111,2
2,2,1,2111,1
2,2,1,2111,1
2,2,1,2111,2
2,2, ,2111,1
2,2,2,2111,1
2,2,1,2111,1
2,2,2,2111,1
2,2,3,2111,1
2,2, ,2111,1
2,2, ,2111,2
2,2, ,2111,1
2,2,1,2111,1
2,2,2,2111,2
2,2,4,2111,2
2,2,5,2111,2
2,2,3,2111,2
2,2,2,2111,1
2,2,3,2111, 
2,2,3,2111,1
2,2,1,2111,2
2,2,2,2111,1
2,2, ,2111,1
2,2,3,2111,2
2,2,3,2111,2
1,1,1,2111,2
1,1,2,2111,2
1,1,3,2111,1
1,1,2,2111,1
1,1,2,2111,1
1,1,4,2111,1
1,1,4,2111,1
1,1,4,2111,1
1,1, ,2111,2
1,1,2,2111,2
1,1,2,2111,1
1,1,2,2111,1
1,1,4,2111,2
1,1,1,2111,2
1,1,1,2111,1
1,1,4,2111,1
1,1,4,2111,2
1,1,7,2111,1
1,1,2,2111,1
1,1,2,2111,1
1,1,4,2111,2
1,1,2,2111,1
1,1,1,2111,2
1,1,2,2111,2
1,1,1,2111,2
1,1,1,2111,2
1,2,1,2111,1
1,2,2,2111,1
1,2,4,2111,2
1,2,4,2111,2
1,2,5,2111,1
1,2,2,2111,1
1,2, ,2111,1
1,2,3,2111,2
1,2,3,2111,1
1,2,1,2111,2
1,2,1,2111,1
1,2,1,2111,1
1,2,1,2111,1
1,2,1,2111,1
1,2,3,2111,1
1,2,2,2111,1
1,2,1,2111,2
1,2,1,2111,1
1,2, ,2111,1
1,2,2,2111,1
1,2,1,2111,1
1,2,4,2111, 
1,2,1,2111,1
1,2,4,2111,1
1,2,1,2111,2
1,2,3,2111,2
1,2,2,2111,2
1,2,3,2111,1
1,2,3,2111,1
1,2, ,2111, 
1,2,3,2111,2
1,2,3,2111,1
1,2,1,2111, 
1,2,2,2111,2
1,2,2,2111,2
1,2,4,2111,2
1,2,2,2111,1
1,2,2,2111,1
1,2,3,2111,1
1,2,2,2111,1
1,2,2,2111,1
1,2,1,2111,1
1,2,3,2111,1
1,2,1,2111,1
1,2,3,2111,2
1,2,3,2111, 
1,2,3,2111,2
1,2,2,2111,2
1,2,4,2111,1
1,2,1,2111,1
1,2,4,2111,2
1,2,4,2111,2
1,2,1,2111,2
1,2,4,2111,2
1,2, ,2111,1
3,1,1,2111,1
3,1,1,2111,1
3,1,2,2111,1
3,1,5,2111,1
3,1,2,2111,2
3,1,4,2111,2
3,1,1,2111,1
3,1,4,2111,2
3,1, ,2111,1
3,1,3,2111,2
3,1,3,2111,1
3,1,4,2111,2
3,1,4,2111,2
3,2,4,2111,2
3,2,2,2111,1
3,2,1,2111,2
3,2,3,2111,2
3,2, ,2111, 
3,2, ,2111, 
3,2, ,2111, 
3,2,4,2111,2
3,2,1,2111,1
3,2,2,2111,2
3,2,1,2111,2
3,2,4,2111,1
3,2,3,2111,2
3,2,2,2111,2
3,2,1,2111,1
3,2,1,2111,1
